"Name","FA","Formula","mz","moleculeNames"
"SM3(d18:1)","24:1","C54H101NO16S",1050.6763,"SM3(d18:1) 24:1"
"DHSM3(d18:0)","24:1","C54H103NO16S",1052.6919,"DHSM3(d18:0) 24:1"
"DHTrihexosylceramide (d18:0)","16:0","C52H99NO18",1060.6551,"DHTrihexosylceramide (d18:0) 16:0"
"DHGM3(d18:0)","16:0","C57H106N2O21",1153.721,"DHGM3(d18:0) 16:0"
"DHTrihexosylceramide (d18:0)","24:1","C60H113NO18",1170.7646,"DHTrihexosylceramide (d18:0) 24:1"
"DHGM3(d18:0)","24:1","C65H120N2O21",1263.8305,"DHGM3(d18:0) 24:1"
"DHGM1(d18:0)","16:0","C71H129N3O31",1518.8532,"DHGM1(d18:0) 16:0"
"DHGM1(d18:0)","24:1","C79H143N3O31",1628.9627,"DHGM1(d18:0) 24:1"
"DHSialyl-LeX(d18:0)","16:0","C77H139N3O35",1664.9111,"DHSialyl-LeX(d18:0) 16:0"
"DHSialyl-LeX(d18:0)","24:1","C85H153N3O35",1775.0206,"DHSialyl-LeX(d18:0) 24:1"
